system:index,Dissolved Reactive Phosphorus,Electrical Conductance,Index,Latitude,Longitude,MNDWI,NDMI,Sample Date,Total Alkalinity,elevation,green,humidity,modis_lc_class,nir,pet,population_3km,precip_0d,precip_1d,precip_3d_sum,slope,soil_clay,soil_ph,soil_sand,swir16,swir22,temp_c,water_occurrence,.geo
0000000000000000071c,29,544,1821,-26.90500069,32.32472229,-0.150914634,0.233956202,29-02-2012,150.5809937,39,8355,72.98920872,9,18242.5,149,135.0237675,0,0,0,2.125689104,28,58,55,11325,8746,26.0515845,0,"{""type"":""Point"",""coordinates"":[32.32472229003906,-26.905000686645508]}"
0000000000000000071d,10,217,1822,-28.69485092,28.23487091,-0.134206513,0.069752042,29-02-2012,115.6050034,1597,9651,47.387338,10,14539,148.40001,1038.245201,0,0,0,2.307897645,23,64,57,12643,10601.5,19.24250247,0,"{""type"":""Point"",""coordinates"":[28.23487091064453,-28.69485092163086]}"
0000000000000000071e,10,189.5,1823,-28.88333321,27.88999939,-0.089391579,0.052991108,29-02-2012,95.96199799,1551,9792,53.15929979,13,13025.5,152.8,52131.44671,0,0,0,4.615288416,20,64,61,11714.5,10125,19.44725507,0,"{""type"":""Point"",""coordinates"":[27.88999938964844,-28.883333206176754]}"
0000000000000000071f,10,291.5,1824,-34.075556,20.145556,-0.229667822,-0.048508793,29-02-2012,17.1779995,122,11056,55.20522676,10,16015.5,183,110.1829211,0,0,0,10.59294441,20,71,65,17648.5,14299,19.88483645,0,"{""type"":""Point"",""coordinates"":[20.145556000000003,-34.075556000000006]}"
720,10,1207,1825,-24.92527771,29.32444382,-0.175026135,0.074135091,1/3/2012,222.2200012,839,9272.5,43.69923499,10,15322,168,190.6748651,0,0,0,1.854334169,25,69,57,13207,10527,25.62063052,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
721,10,821,1826,-27.573056,24.746389,-0.170592341,0.063264629,1/3/2012,194.7030029,1094,9507.5,58.84715648,10,15231,207,5476.2719,0,4.846623328,4.846623328,1.397953513,26,65,62,13418.5,11189.5,24.20599836,0,"{""type"":""Point"",""coordinates"":[24.746389,-27.573056]}"
722,10,159.3000031,1827,-30.1600914,27.4012394,-0.208190989,0.002074792,1/3/2012,74.71399689,1417,9850.5,67.06934665,10,15093,163.2,230.6403185,0,5.944696661,5.944696661,5.100532597,21,66,60,15030.5,12009,19.22666893,0,"{""type"":""Point"",""coordinates"":[27.4012393951416,-30.160091400146484]}"
723,10,149.3999939,1828,-30.33611107,27.35944366,0.072607826,0.117189624,1/3/2012,68.17099762,1384,9388,67.62173433,10,10272,164.1,5.500510522,0,7.601255188,7.601255188,2.836746042,25,67,54,8117,7866,18.83189354,57,"{""type"":""Point"",""coordinates"":[27.359443664550785,-30.33611106872559]}"
724,10,220.1000061,1829,-29.615556,27.065278,-0.084838783,0.104111193,1/3/2012,73.40899658,1435,10005,60.2451761,10,14616.5,169.8,715.9734245,0,4.915730272,4.915730272,3.328525256,23,69,58,11860,10265.5,20.31529198,0,"{""type"":""Point"",""coordinates"":[27.065278,-29.615556]}"
725,13,254.1999969,1830,-30.830556,26.92138863,-0.048260847,0.117444246,2/3/2012,106.6269989,1328,9180,55.25542437,10,12802,167,20.38916497,0,4.211036205,12.7863059,5.125250093,25,70,55,10111,8709.5,21.16539408,69,"{""type"":""Point"",""coordinates"":[26.921388626098633,-30.830556]}"
726,24,232.3999939,1831,-23.65805626,31.04999924,-0.172304122,0.004198459,2/3/2012,56.95199966,329,9629,59.84544162,10,13753,158.7,1.462784975,0,0,0,7.570359435,25,72,61,13638,11794.5,25.88577169,0,"{""type"":""Point"",""coordinates"":[31.049999237060554,-23.658056259155277]}"
727,33,884,1832,-27.902778,24.615556,-0.192559765,0.051999603,2/3/2012,212.503006,1053,9702,44.22203905,7,15901.5,204.3,1623.331115,7.299079414,0,11.28506577,1.049385724,21,69,65,14329.5,11291.5,25.29967143,0,"{""type"":""Point"",""coordinates"":[24.615556000000005,-27.902778]}"
728,23,819,1833,-29.65805626,25.97333336,-0.152560084,0.002712477,2/3/2012,345.2210083,1324,9732,47.24563805,10,13308,179.1,34.14880369,0,0,0,2.326142601,25,73,57,13236,10611.5,22.89480489,0,"{""type"":""Point"",""coordinates"":[25.973333358764645,-29.65805625915527]}"
729,12,531,1834,-29.028629,24.638389,-0.126728464,0.085189666,2/3/2012,152.6410065,1111,9962.5,40.51494266,10,15248,203,500.4187674,0,0,11.11072463,4.620702861,28,68,60,12854,11090.5,25.98831075,0,"{""type"":""Point"",""coordinates"":[24.638389000000004,-29.028629]}"
0000000000000000072a,177,410,1835,-31.000833,26.35305595,-0.137385064,0.025067282,2/3/2012,189.0930023,1378,9616,57.24568466,7,13331,167.3,6622.353538,0,0,6.349471456,9.105492004,25,68,56,12679,10668,21.26899109,0,"{""type"":""Point"",""coordinates"":[26.353055953979492,-31.000833000000004]}"
0000000000000000072b,10,186.8999939,1836,-30.67972183,26.71249962,,,2/3/2012,93.68000031,1298,,55.12454107,13,,170.8,13357.07497,0,0,5.013804094,0,27,69,53,,,21.33149109,35,"{""type"":""Point"",""coordinates"":[26.712499618530273,-30.67972183227539]}"
0000000000000000072c,10,415,1837,-28.760833,17.73027802,,,4/3/2012,138.3670044,166,,56.55737308,16,,239.2,0.038670851,0,0,0,15.68506692,23,80,63,,,21.05944532,98,"{""type"":""Point"",""coordinates"":[17.73027801513672,-28.760833000000005]}"
0000000000000000072d,10,412,1838,-25.99135971,27.84207916,-0.175638561,0.053475345,5/3/2012,108.2330017,1364,9004.5,38.41915392,10,14292.5,158.8,2448.916354,0,0,0,2.964988382,26,62,60,12841.5,10173.5,23.29510905,0,"{""type"":""Point"",""coordinates"":[27.842079162597656,-25.991359710693363]}"
0000000000000000072e,52,450,1839,-24.058889,31.237222,,,5/3/2012,152.9859924,284,,56.60042996,10,,153.7,0,0,0,0,1.375216872,26,69,59,,,27.30666504,0,"{""type"":""Point"",""coordinates"":[31.237222,-24.058889]}"
0000000000000000072f,10,97.69999695,1840,-29.98777771,29.8516674,-0.203230736,0.139408886,5/3/2012,39.93600082,1004,9125,79.70351143,12,18244.5,129.90001,307.9403711,0,0,0,12.58903658,29,60,45,13780,10285.5,16.28916829,0,"{""type"":""Point"",""coordinates"":[29.851667404174794,-29.98777770996094]}"
730,10,102,1841,-29.74416733,29.905833,-0.136742571,0.090161237,5/3/2012,34.12099838,917,9449,77.05118696,10,14908.5,134.7,1088.889876,0,0,0,18.34238604,29,70,46,12442.5,9817,16.71747233,0,"{""type"":""Point"",""coordinates"":[29.905833,-29.74416732788086]}"
731,160,811,1842,-26.861111,28.88472176,-0.21254313,0.054670317,5/3/2012,161.451004,1525,9699.5,42.32478737,12,16663,151,119.6157047,0,0,0,2.784306215,32,67,54,14935.5,11538.5,21.89813639,0,"{""type"":""Point"",""coordinates"":[28.884721755981445,-26.861111]}"
732,137,627,1843,-26.45000076,28.0858326,-0.182965234,0.049803166,5/3/2012,136.7519989,1476,9794,41.31791684,10,15667,155.90001,2118.426142,0,0,0,3.239776951,29,64,53,14180.5,10960,22.61965332,0,"{""type"":""Point"",""coordinates"":[28.085832595825195,-26.45000076293945]}"
733,26,398,1844,-28.768056,20.72055626,0.086286351,0.074372183,5/3/2012,114.4469986,662,5127,29.90980542,7,5005.5,243.1,277.4336398,0,0,0,3.303317528,28,73,55,4312.5,4248,24.81114095,23,"{""type"":""Point"",""coordinates"":[20.720556259155277,-28.768056]}"
734,10,89.09999847,1845,-30.73388863,29.8283329,-0.202865762,0.041946141,6/3/2012,35.9980011,621,4756.5,88.38362698,10,7806,127.4,979.6956803,0,0,0,3.857857495,33,69,48,7177.5,5654.5,15.85864093,0,"{""type"":""Point"",""coordinates"":[29.828332901000973,-30.733888626098633]}"
735,10,79.30000305,1846,-29.38055611,30.27750015,-0.136946678,0.098909091,6/3/2012,28.40699959,1071,10816,84.91346195,8,17376.5,128.5,175.6581094,0,0,0,2.137672972,27,61,52,14248.5,11200.5,15.5922835,0,"{""type"":""Point"",""coordinates"":[30.277500152587894,-29.38055610656738]}"
736,10,734,1847,-27.39861107,26.614722,-0.075679621,0.082053386,6/3/2012,241.6569977,1257,12980,46.33743394,10,17806,182.6,5008.419326,0,0,0,5.579448911,30,67,55,15105.5,12580,24.42464027,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
737,102,463,1848,-27.671111,27.2369442,-0.169995958,0.020307099,6/3/2012,178.6860046,1343,9754,51.80362188,13,14319.5,172.1,12659.07239,0,0,0,4.282532506,30,67,54,13749.5,11383,22.76497231,0,"{""type"":""Point"",""coordinates"":[27.2369441986084,-27.671111]}"
738,10,505,1849,-29.042222,24.60000038,0.029011906,0.078976362,6/3/2012,116.0169983,1111,9745,35.02834385,10,10772.5,203.3,14922.92144,0,0,0,3.678716605,28,70,54,9195.5,8150,26.27555173,0,"{""type"":""Point"",""coordinates"":[24.600000381469727,-29.042222000000006]}"
739,10,172.1999969,1850,-30.33611107,27.35944366,0.072607826,0.117189624,6/3/2012,91.65000153,1384,9388,62.13496291,10,10272,164.1,5.500510522,0,0,0,2.836746042,25,67,54,8117,7866,18.53328285,57,"{""type"":""Point"",""coordinates"":[27.359443664550785,-30.33611106872559]}"
0000000000000000073a,10,762,1851,-27.39999962,26.62472153,-0.048037332,0.051149971,6/3/2012,245.8769989,1256,9537,46.33743394,10,11631.5,182.6,9965.066573,0,0,0,0.927409937,27,67,60,10499.5,9383.5,24.42464027,0,"{""type"":""Point"",""coordinates"":[26.62472152709961,-27.399999618530273]}"
0000000000000000073b,12,328.7000122,1852,-29.16166687,23.696389,0.123328127,0.028632559,7/3/2012,108.3809967,986,9889.5,22.61767048,7,8173,204.3,69.93351513,0,0,0,0,27,72,52,7718,7624,27.42419586,98,"{""type"":""Point"",""coordinates"":[23.696389,-29.16166687011719]}"
0000000000000000073c,11,1431,1853,-24.92527771,29.32444382,-0.225640271,-0.086526072,18-10-2011,245.4609985,839,10522,53.59457175,10,14001.5,177.1,190.6748651,2.348865271,0,2.348865271,1.854334169,25,69,57,16654,13822,22.41419118,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
0000000000000000073d,20,827,1854,-28.71150017,24.07288889,-0.105588737,0.020523093,7/3/2012,148.8470001,1003,10482.5,23.34922907,7,13500.5,204.8,1286.7515,0,0,0,0,,,,12957.5,11144.5,27.5231542,12,"{""type"":""Point"",""coordinates"":[24.07288889,-28.711500167846673]}"
0000000000000000073e,10,585,1855,-25.81048333,27.90955222,,,7/3/2012,163.0420074,1184,,55.59130871,7,,163.5,1321.94734,0,0,0,3.5999893,27,65,54,,,22.10119781,0,"{""type"":""Point"",""coordinates"":[27.909552220000002,-25.810483330000004]}"
0000000000000000073f,10,161.1000061,1856,-27.93777847,31.20944405,-0.158775433,0.111677994,7/3/2012,43.52799988,633,8848,73.62007233,10,15252.5,145.2,1385.17529,0,0,0,11.32380891,28,69,53,12188,9680,19.42175446,0,"{""type"":""Point"",""coordinates"":[31.209444046020508,-27.937778472900387]}"
740,10,216.3000031,1857,-28.40444374,30.0130558,,,7/3/2012,66.7460022,1084,,55.79975754,10,,150.2,82.59912658,9.032117135,0,9.032117135,3.487029723,22,59,65,,,22.46325836,0,"{""type"":""Point"",""coordinates"":[30.013055801391598,-28.404443740844723]}"
741,10,290.7000122,1858,-30.39805603,30.60194397,-0.135279033,0.206215847,7/3/2012,54.12099838,65,8851.5,70.50005408,9,17659,131,1256.367383,0,0,56.16307307,3.704791834,24,60,54,11621,9216,22.11552073,0,"{""type"":""Point"",""coordinates"":[30.601943969726573,-30.398056030273438]}"
742,10,1417,1859,-24.92527771,29.32444382,-0.215283789,-0.066637725,7/6/2012,253.8130035,839,9519,28.18795161,10,12900,168,190.6748651,0,0,0,1.854334169,25,69,57,14742,12501.5,15.84544462,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
743,10,1417,1860,-24.92527771,29.32444382,-0.230161156,-0.089026766,9/8/2012,258.5190125,839,9446.5,36.53886864,10,12627,166.8,190.6748651,0,0,0,1.854334169,25,69,57,15095,12778,12.84616687,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
744,28,1295,1861,-24.92527771,29.32444382,,,5/10/2012,249.6210022,839,,26.75963457,10,,166.8,190.6748651,0,0,0,1.854334169,25,69,57,,,26.33108355,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
745,10,540,1862,-30.27401924,30.69602013,-0.182312463,0.076831229,7/3/2012,128.9640045,35,9625,71.10226245,9,16233.5,130.7,11188.77593,0,0,69.10655389,6.806311556,22,60,57,13917,11372,22.08256175,0,"{""type"":""Point"",""coordinates"":[30.69602012634277,-30.274019241333015]}"
746,60,343.8999939,1863,-27.02313995,28.59388924,-0.014366075,0.068320019,7/3/2012,116.8499985,1493,11389,64.1648599,13,13440,152,8241.352167,4.049548892,0,4.049548892,5.882007317,29,65,57,11721,10419.5,20.38651683,43,"{""type"":""Point"",""coordinates"":[28.5938892364502,-27.02313995361328]}"
747,11,169.3999939,1864,-27.273889,28.48999977,,,7/3/2012,46.7140007,1502,,62.23898962,13,,151.8,13464.24366,13.04344524,0,13.04344524,13.45025376,25,64,60,,,20.58915354,0,"{""type"":""Point"",""coordinates"":[28.489999771118168,-27.273889000000004]}"
748,12,1469,1865,-24.92527771,29.32444382,-0.221392886,-0.078377618,2/7/2013,254.3450012,839,9779.5,29.05616049,10,13111,154.1,197.5567754,0,0,0,1.854334169,25,69,57,15341,12837,16.98082822,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
749,16,922,1866,-24.92527771,29.32444382,-0.243330854,-0.085792313,22-08-2013,247.2559967,839,9920.5,21.2062963,10,13725,172.3,197.5567754,0,0,0,1.854334169,25,69,57,16301,13890.5,18.57506841,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
0000000000000000074a,11,922,1867,-24.92527771,29.32444382,,,16-09-2013,210.1380005,839,,32.81458865,10,,172.3,197.5567754,0,0,0,1.854334169,25,69,57,,,25.96022186,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
0000000000000000074b,10,140.5,1868,-27.42749977,28.52583313,-0.177725735,-0.01551924,7/3/2012,39.6230011,1513,9480,62.58845436,12,13163,150.40001,29.7930463,0,0,0,4.27352172,23,71,66,13578,11016.5,20.45699209,0,"{""type"":""Point"",""coordinates"":[28.525833129882812,-27.427499771118168]}"
0000000000000000074c,10,1459.219971,1869,-24.92527771,29.32444382,-0.211655352,0.076643904,20-01-2014,242.9329987,839,9435.5,44.68011632,10,16909.5,161.90001,197.5567754,0,0,0,1.854334169,25,69,57,14502,11633,26.82549311,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
0000000000000000074d,18,249.1999969,1870,-27.29999924,28.586944,-0.218039604,-0.044665441,7/3/2012,73.4469986,1513,10672,63.38046231,10,15202,150.5,12.80499786,8.870510933,0,8.870510933,11.64384773,25,67,61,16623.5,13632.5,20.31172841,0,"{""type"":""Point"",""coordinates"":[28.586943999999995,-27.299999237060543]}"
0000000000000000074e,10,302.7999878,1871,-29.18250084,23.5755558,0.004786451,0.046440721,7/3/2012,95.23300171,968,9551.5,21.34086827,7,10382,208.8,5.207787099,0,0,0,11.72161307,26,72,54,9460.5,8448,27.58386383,0,"{""type"":""Point"",""coordinates"":[23.575555801391605,-29.18250083923341]}"
0000000000000000074f,20,500,1872,-24.92527771,29.32444382,-0.241114156,-0.041049833,10/6/2014,243.8840027,839,9277,43.75332377,10,13975.5,161.90001,197.5567754,0,0,0,1.854334169,25,69,57,15172,12529.5,13.68426221,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
750,20,500,1873,-24.92527771,29.32444382,-0.23668196,-0.070170775,18-07-2014,255.2779999,839,9940.5,29.84825153,10,13993,173,197.5567754,0,0,0,1.854334169,25,69,57,16105,13229.5,16.33327128,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
751,10,123.5,1874,-34.329722,18.99027824,-0.078343727,-0.002039497,7/3/2012,10.86499977,8,8608.5,77.21899932,9,10031,163,4441.578281,0,0,3.425412287,4.760536388,19,62,61,10072,9339.5,20.06628571,0,"{""type"":""Point"",""coordinates"":[18.99027824401856,-34.329722]}"
752,20,500,1875,-24.92527771,29.32444382,-0.242019581,-0.064234632,5/9/2014,288.2749939,839,10103.5,39.31612113,10,14557,173,197.5567754,0,0,0,1.854334169,25,69,57,16555.5,13872,16.35921186,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
753,12,427,1876,-28.058889,30.37361145,,,7/3/2012,109.3000031,1142,,61.69328374,10,,147.1,333.2855424,0,0,0,0,21,64,63,,,20.99540354,0,"{""type"":""Point"",""coordinates"":[30.373611450195312,-28.058889000000004]}"
754,10,85.40000153,1877,-27.52750015,30.858056,-0.194606152,0.063338202,8/3/2012,31.9829998,961,9511.5,80.85961523,10,16016,139.7,396.5144942,0,0,0,4.251223644,26,66,58,14108,11021,19.24473216,0,"{""type"":""Point"",""coordinates"":[30.858055999999998,-27.52750015258789]}"
755,85,772,1878,-27.38972222,26.46388889,0.004397075,0.012304118,8/3/2012,137.2189941,1249,10507.5,41.36964855,10,10675,184.3,164.9580179,0,0,0,0,23,70,62,10415.5,9625.5,24.54071198,81,"{""type"":""Point"",""coordinates"":[26.46388889,-27.38972222]}"
756,10,779,1879,-27.39861107,26.614722,-0.075679621,0.082053386,8/3/2012,222.8619995,1257,12980,42.24287472,10,17806,182.6,5008.419326,0,0,0,5.579448911,30,67,55,15105.5,12580,24.45355377,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
757,10,180.1000061,1880,-30.67972183,26.71249962,0.070098223,0.147391732,8/3/2012,82.59200287,1298,9968.5,39.94263228,13,11657.5,170.8,13357.07497,0,0,0,0,27,69,53,8662.5,8038,23.65016836,35,"{""type"":""Point"",""coordinates"":[26.712499618530273,-30.67972183227539]}"
758,10,293.2999878,1881,-29.803611,30.51611137,-0.216046221,0.020237702,9/3/2012,83.57299805,604,9566,83.22603915,14,15451.5,128.90001,926.361407,0,0,0,2.828045668,29,69,54,14838.5,12144,21.5940637,0,"{""type"":""Point"",""coordinates"":[30.516111373901367,-29.803610999999993]}"
759,10,691,1882,-27.01011111,26.69808333,-0.043986804,0.086571472,12/3/2012,126.5510025,1291,9563,47.86065327,10,12422.5,175.6,3151.94203,0,0,0,3.847464255,,,,10443,8906.5,21.88780556,61,"{""type"":""Point"",""coordinates"":[26.69808333,-27.01011111]}"
0000000000000000075a,10,125.4000015,1883,-32.59583282,19.009444,-0.193294838,-0.007648277,12/3/2012,5,157,10443,29.00972595,13,15213,213.8,8081.265301,0,0,0,0.927409937,21,69,64,15447.5,12938,27.90505816,0,"{""type"":""Point"",""coordinates"":[19.009444,-32.59583282470704]}"
0000000000000000075b,163,620,1884,-25.127778,27.628889,-0.252777937,-0.067327119,13-03-2012,185.4309998,959,9767.5,33.35186118,10,14310,176.6,118.6866787,0,0,0,0.927409937,27,71,54,16376,13148,26.08039945,0,"{""type"":""Point"",""coordinates"":[27.628889000000004,-25.127777999999996]}"
0000000000000000075c,63,643,1885,-25.20639038,27.55800056,-0.137725593,0.065375822,13-03-2012,127.1070023,956,9914,33.36697552,10,14911,177,400.101174,0,0,0,5.194470619,29,67,55,13081,10792.5,26.07934151,0,"{""type"":""Point"",""coordinates"":[27.5580005645752,-25.20639038085938]}"
0000000000000000075d,113,729,1886,-24.69514084,27.40905952,-0.13226194,0.075459475,13-03-2012,161.8119965,907,9570.5,34.74305559,12,14526.5,185,154.5506935,0,0,0,14.55362964,33,68,49,12488,10229,26.98990466,0,"{""type"":""Point"",""coordinates"":[27.409059524536133,-24.69514083862305]}"
0000000000000000075e,10,569,1887,-28.74777794,31.745833,-0.202306214,0.107645493,13-03-2012,106.7429962,54,9339,81.76694623,9,17472,147.8,4021.122557,0,0,0,6.95663271,25,69,59,14076,10629.5,22.57901599,0,"{""type"":""Point"",""coordinates"":[31.745833,-28.747777938842773]}"
0000000000000000075f,10,284.7000122,1888,-27.169444,29.23388863,,,13-03-2012,120.5780029,1526,,44.54073612,10,,145.40001,50.95124642,0,0,0,7.762280502,25,73,60,,,19.92626534,0,"{""type"":""Point"",""coordinates"":[29.233888626098633,-27.169444]}"
760,18,324.6000061,1889,-27.00222015,28.76527977,,,13-03-2012,144.5740051,1497,,45.38675199,12,,150.40001,15.4102063,0,0,6.32932785,2.968161592,27,69,57,,,20.35147692,0,"{""type"":""Point"",""coordinates"":[28.765279769897457,-27.00222015380859]}"
761,10,658,1890,-26.64805603,27.089444,-0.23489798,-0.003069789,13-03-2012,231.8950043,1357,9515,27.9272351,10,15263.5,165.40001,550.06735,0,0,0,1.037605708,25,62,62,15357.5,11707.5,22.61783435,0,"{""type"":""Point"",""coordinates"":[27.089444000000004,-26.64805603027344]}"
762,81,644,1891,-26.97027779,27.21111107,0.054525856,0.042280861,13-03-2012,129.6569977,1326,8804.5,27.55629558,10,8591,166.2,82.46847761,0,0,0,0,,,,7894,7733,22.76741117,91,"{""type"":""Point"",""coordinates"":[27.211111068725586,-26.970277786254883]}"
763,10,805,1892,-26.88027763,26.96500015,-0.187214612,0.093927738,13-03-2012,241.072998,1302,9434,26.441624,10,16637,168.40001,153.8451071,0,0,0,1.393106924,,,,13780,10487,23.32763252,0,"{""type"":""Point"",""coordinates"":[26.96500015258789,-26.880277633666996]}"
764,18,920,1893,-26.98472222,26.63227778,-0.233234353,-0.037067064,13-03-2012,151.4700012,1289,9941.5,27.13395361,10,14846.5,174.1,41516.36378,0,0,0,5.189790205,27,68,58,15989.5,13078,23.2014932,0,"{""type"":""Point"",""coordinates"":[26.63227778,-26.984722220000002]}"
765,10,222.8000031,1894,-31.104278,29.399722,-0.108867104,0.061099669,13-03-2012,85.33799744,378,9067.5,81.53913706,10,12751.5,130.3,1871.808533,0,0,0,21.01506594,25,67,56,11283,9569,19.30989164,0,"{""type"":""Point"",""coordinates"":[29.399721999999997,-31.104278]}"
766,10,151.3999939,1895,-31.39599991,29.26510048,,,13-03-2012,48.68000031,115,,86.18694415,10,,131.90001,1351.793981,0,0,0,7.456679511,22,70,59,,,20.3795531,64,"{""type"":""Point"",""coordinates"":[29.26510047912597,-31.39599990844726]}"
767,44,619,1896,-33.50166702,21.624167,-0.056206921,0.164709188,13-03-2012,102.0569992,240,9961.5,50.19144354,9,15544.5,175.2,47.76103237,0,0,0,0,19,71,65,11148,9020.5,22.98689359,0,"{""type"":""Point"",""coordinates"":[21.624167000000003,-33.50166702270508]}"
768,10,298.7999878,1897,-29.16166687,23.696389,0.106999102,0.021823257,14-03-2012,87.29299927,986,9557,22.09351236,7,8053.5,204.3,69.93351513,0,0,0,0,27,72,52,7709.5,7641,26.48798014,98,"{""type"":""Point"",""coordinates"":[23.696389,-29.16166687011719]}"
769,10,502,1898,-28.801278,31.95538902,,,14-03-2012,89.3010025,10,,81.33480151,12,,146.8,2512.390999,0,0,0,1.058299984,23,59,59,,,23.12925618,28,"{""type"":""Point"",""coordinates"":[31.95538902282715,-28.801278]}"
0000000000000000076a,64,705,1899,-28.141944,26.41777802,-0.215322359,0.007663697,14-03-2012,301.32901,1269,9259,35.84725289,10,14562,184.3,49.29005826,0,0,0,2.971977294,28,70,57,14340.5,11674.5,23.47805176,0,"{""type"":""Point"",""coordinates"":[26.417778015136722,-28.141944]}"
0000000000000000076b,50,1319,1900,-28.11750031,26.71944427,-0.162288532,-9.52E-04,14-03-2012,196.0429993,1283,9854,36.64940741,12,13646,179.40001,136.782233,0,0,0,4.744318206,25,67,61,13672,11798.5,23.26304525,0,"{""type"":""Point"",""coordinates"":[26.719444274902344,-28.11750030517578]}"
0000000000000000076c,11,1503.5,1901,-29.03333282,23.983333,-0.161171419,0.065490938,14-03-2012,174.6239929,1004,10354.5,21.95196234,7,16342.5,202.3,126.4846974,0,0,0,9.199528726,25,72,62,14333.5,11781,26.51841634,0,"{""type"":""Point"",""coordinates"":[23.983332999999995,-29.033332824707024]}"
0000000000000000076d,10,166.6000061,1902,-29.16166687,30.629722,-0.211878879,0.005128907,15-03-2012,77.83899689,961,9461,74.78228155,9,14698,132,194.1509319,0,0,0,3.314888333,30,61,50,14548,11814,18.9947169,0,"{""type"":""Point"",""coordinates"":[30.629722000000005,-29.16166687011719]}"
0000000000000000076e,10,821,1903,-27.39861107,26.614722,-0.075679621,0.082053386,15-03-2012,254.2460022,1257,12980,64.7983898,10,17806,182.6,5008.419326,0,0,0,5.579448911,30,67,55,15105.5,12580,19.28264008,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
0000000000000000076f,102,491,1904,-27.671111,27.2369442,-0.169995958,0.020307099,15-03-2012,202.6199951,1343,9754,66.86816682,13,14319.5,172.1,12659.07239,0,0,0,4.282532506,30,67,54,13749.5,11383,18.99072927,0,"{""type"":""Point"",""coordinates"":[27.2369441986084,-27.671111]}"
770,15,911,1905,-27.902778,24.615556,-0.158284215,0.078802395,15-03-2012,177.3359985,1053,9782,70.89023114,7,15764,204.3,1623.331115,0,0,0,1.049385724,21,69,65,13461,10437.5,20.06681976,0,"{""type"":""Point"",""coordinates"":[24.615556000000005,-27.902778]}"
771,10,742,1906,-27.573056,24.746389,-0.16757623,0.036716754,16-03-2012,177.5639954,1094,9609.5,77.15934293,10,14506,207,5476.2719,0,14.16683054,14.16683054,1.397953513,26,65,62,13478.5,10935,19.69547997,0,"{""type"":""Point"",""coordinates"":[24.746389,-27.573056]}"
772,10,125.4000015,1907,-31.031389,28.88333321,-0.036321389,0.031985378,16-03-2012,37.43600082,825,9850,71.3432253,10,11292.5,135.2,1076.534982,0,18.41353477,18.41353477,8.813167604,21,69,58,10592.5,9155.5,18.86344872,0,"{""type"":""Point"",""coordinates"":[28.883333206176754,-31.031389]}"
773,10,151.3000031,1908,-30.86013889,29.07125092,-0.112087711,-0.016932834,16-03-2012,53.15200043,825,9698,71.88541667,10,11742,135.8,1148.135571,0,12.78215192,12.78215192,1.423655925,27,70,51,12146.5,10156,19.28841616,20,"{""type"":""Point"",""coordinates"":[29.071250915527344,-30.860138889999998]}"
774,10,133.6000061,1909,-30.77586667,29.03221667,-0.215915579,-0.041659639,16-03-2012,48.59199905,900,9956.5,73.05648704,10,14205,136.3,735.4506976,0,13.22929272,13.22929272,9.3162766,22,67,58,15440,12645.5,18.68197085,0,"{""type"":""Point"",""coordinates"":[29.032216669999997,-30.775866669999996]}"
775,10,407,1910,-28.760833,17.73027802,,,17-03-2012,135.1940002,166,,42.18571606,16,,239.2,0.038670851,0,0,0,15.68506692,23,80,63,,,20.35652758,98,"{""type"":""Point"",""coordinates"":[17.73027801513672,-28.760833000000005]}"
776,10,426,1911,-28.96361923,19.15485954,,,17-03-2012,143.9649963,305,,25.95336243,7,,243.6,11.90802798,0,0,0,0.927409937,24,73,55,,,20.06925545,97,"{""type"":""Point"",""coordinates"":[19.15485954284668,-28.963619232177734]}"
777,10,679,1912,-27.01011111,26.69808333,-0.043986804,0.086571472,19-03-2012,149.1450043,1291,9563,37.97327376,10,12422.5,175.6,3151.94203,0,0,0,3.847464255,,,,10443,8906.5,20.80274099,61,"{""type"":""Point"",""coordinates"":[26.69808333,-27.01011111]}"
778,83,754,1913,-26.861111,28.88472176,-0.179883946,0.034195707,19-03-2012,208.1609955,1525,10282,48.31383731,12,15840,151,119.6157047,0,0,0.671109578,2.784306215,32,67,54,14792.5,11856,18.88127289,0,"{""type"":""Point"",""coordinates"":[28.884721755981445,-26.861111]}"
